HOLEID,PROJECTCODE,GEOLFROM,GEOLTO,PRIORITY,Lith1,Lith2,Colour,Altern1,Altern1_Intnsty,Altern2,Altern2_Intnsty,Mineral1,Mineral1_Perct,Mineral1_Style,Mineral2,Mineral2_Perct,Mineral2_Style,Photo,Texture
SRC122,Merlot,0,1,1,SAND,CAL,RD,,,,,,,,,,,,BCL
SRC122,Merlot,1,2,1,SAND,CAL,RD,,,,,,,,,,,,BRK
SRC122,Merlot,2,3,1,CLAY,,BF,,,,,,,,,,,,BED
SRC122,Merlot,3,4,1,CLAY,,BF,,,,,,,,,,,,EBD
SRC122,Merlot,4,5,1,CLAY,,BF,,,,,,,,,,,,GRA
SRC122,Merlot,5,6,1,CLAY,,BF,,,,,,,,,,,,RND
SRC122,Merlot,6,7,1,CLAY,,BF,,,,,,,,,,,,BDN
SRC122,Merlot,7,8,1,CLAY,,BF,,,,,,,,,,,,BDN
SRC122,Merlot,8,9,1,CLAY,,BF,,,,,,,,,,,,BDN
SRC122,Merlot,9,10,1,CLAY,,BF,,,,,,,,,,,,BDN
SRC122,Merlot,10,11,1,CLAY,,BR,,,,,,,,,,,,CTG
SRC122,Merlot,11,12,1,CLAY,,BR,,,,,,,,,,,,CTG
SRC122,Merlot,12,13,1,CLAY,,KH,,,,,,,,,,,,GBD
SRC122,Merlot,13,14,1,CLAY,,KH,,,,,,,,,,,,GBD
SRC122,Merlot,14,15,1,SIL,MV,GY,,,,,,,,,,,,LAM
SRC122,Merlot,15,20,1,LLSP,,BR,GO,W,HE,W,,,,,,,,LAM
SRC122,Merlot,20,21,1,LSRK,,BR,GO,W,HE,W,,,,,,,,CTG
SRC122,Merlot,21,24,1,SQ,,GR,SI,S,,,PY,3,DS,QZ,2,VN,,MAS
SRC122,Merlot,24,28,1,MA,,GY,SI,W,BI,W,PY,1,DS,,,,,MAS
SRC122,Merlot,28,30,1,MA,,GY,SI,W,BI,W,SX,3,DS,,,,,MAS
SRC122,Merlot,30,50,1,MA,,GY,SI,W,,,PY,1,DS,QZ,1,VN,,MAS
